排行榜,游戏名字,目前游戏价格?,游戏评价,游戏页面链接
71,Resident Evil Village,265.32,"好评如潮,38,644 篇用户的捆绑包游戏评测中有 95% 为好评。",https://store.steampowered.com/bundle/16651/Resident_Evil_Village/?snr=1_7_7_globaltopsellers_150_3
72,Grim Dawn Definitive Edition,107.73,"特别好评,59,440 篇用户的捆绑包游戏评测中有 93% 为好评。",https://store.steampowered.com/bundle/12695/Grim_Dawn_Definitive_Edition/?snr=1_7_7_globaltopsellers_150_3
73,Disco Elysium - The Final Cut,63.00,"特别好评,39,759 篇用户的游戏评测中有 94% 为好评。",https://store.steampowered.com/app/632470/Disco_Elysium__The_Final_Cut/?snr=1_7_7_globaltopsellers_150_3
74,CS:GO Prime Status Upgrade, 96.00,"特别好评,5,971,933 篇用户的捆绑包游戏评测中有 88% 为好评。",https://store.steampowered.com/sub/54029/?snr=1_7_7_globaltopsellers_150_3
75,PUBG: BATTLEGROUNDS, 98.00,"褒贬不一,1,526,590 篇用户的游戏评测中有 53% 为好评。",https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_globaltopsellers_150_3
76,《星球大战 绝地：陨落的武士团?》,89.10,"特别好评,67,048 篇用户的游戏评测中有 90% 为好评。",https://store.steampowered.com/app/1172380/_/?snr=1_7_7_globaltopsellers_150_4
77,Wallpaper Engine：壁纸引擎, 19.00,"好评如潮,387,911 篇用户的软件评测中有 97% 为好评。",https://store.steampowered.com/app/431960/Wallpaper_Engine/?snr=1_7_7_globaltopsellers_150_4
78,Ghostrunner - 幽灵行者,59.20,"特别好评,25,577 篇用户的游戏评测中有 91% 为好评。",https://store.steampowered.com/app/1139900/Ghostrunner/?snr=1_7_7_globaltopsellers_150_4
79,Project Wingman,38.40,"特别好评,7,193 篇用户的游戏评测中有 94% 为好评。",https://store.steampowered.com/app/895870/Project_Wingman/?snr=1_7_7_globaltopsellers_150_4
80,Poppy Playtime, 22.00,"特别好评,2,353 篇用户的游戏评测中有 92% 为好评。",https://store.steampowered.com/app/1721470/Poppy_Playtime/?snr=1_7_7_globaltopsellers_150_4
81,Barotrauma,26.70,"特别好评,11,975 篇用户的游戏评测中有 92% 为好评。",https://store.steampowered.com/app/602960/Barotrauma/?snr=1_7_7_globaltopsellers_150_4
82,Darkest Dungeon?: Ancestral Edition,47.88,"特别好评,93,529 篇用户的捆绑包游戏评测中有 89% 为好评。",https://store.steampowered.com/bundle/3748/Darkest_Dungeon_Ancestral_Edition/?snr=1_7_7_globaltopsellers_150_4
83,Project Zomboid,32.16,"特别好评,37,656 篇用户的游戏评测中有 90% 为好评。",https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_globaltopsellers_150_4
84,Psychonauts 2,126.75,"好评如潮,3,444 篇用户的游戏评测中有 97% 为好评。",https://store.steampowered.com/app/607080/Psychonauts_2/?snr=1_7_7_globaltopsellers_150_4
85,Garry's Mod,24.12,"好评如潮,637,250 篇用户的游戏评测中有 96% 为好评。",https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_7_7_globaltopsellers_150_4
86,World War Z: Aftermath,92.80,"多半好评,2,311 篇用户的游戏评测中有 78% 为好评。",https://store.steampowered.com/app/699130/World_War_Z_Aftermath/?snr=1_7_7_globaltopsellers_150_4
87,Age of Empires III: Definitive Edition,49.50,"多半好评,19,074 篇用户的游戏评测中有 76% 为好评。",https://store.steampowered.com/app/933110/Age_of_Empires_III_Definitive_Edition/?snr=1_7_7_globaltopsellers_150_4
88,Outer Wilds,48.00,"好评如潮,24,848 篇用户的游戏评测中有 95% 为好评。",https://store.steampowered.com/app/753640/Outer_Wilds/?snr=1_7_7_globaltopsellers_150_4
